City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,eldama ravine,0.0516,35.7308,61.65,65,85,2.39,KE,1615007247
84,sola,-13.8833,167.55,82.98,78,99,23.22,VU,1615006896
85,pangnirtung,66.1451,-65.7125,3.16,87,99,0.96,CA,1615006872
86,quiindy,-25.9667,-57.2667,69.62,85,1,2.75,PY,1615007248
87,hobart,-42.8794,147.3294,68.0,48,75,17.27,AU,1615006691
88,swellendam,-34.0226,20.4417,55.4,94,0,1.14,ZA,1615007248
89,nikolskoye,59.7035,30.7861,18.0,85,0,4.47,RU,1615006766
90,ixtapa,20.7,-105.2,69.01,94,1,2.89,MX,1615007249
91,porto novo,6.4965,2.6036,80.65,82,100,9.66,BJ,1615007249
92,ouadda,8.0777,22.4007,70.36,21,4,8.25,CF,1615007249
93,hermanus,-34.4187,19.2345,61.0,91,0,3.02,ZA,1615006765
94,chokurdakh,70.6333,147.9167,-6.75,91,100,21.34,RU,1615006867
95,cherskiy,68.75,161.3,-12.15,88,100,9.06,RU,1615006792
96,singkang,2.1006,102.7994,91.4,58,20,8.05,MY,1615007250
97,vila,42.0304,-8.1588,42.01,92,4,3.76,PT,1615006920
98,puerto ayora,-0.7393,-90.3518,75.0,96,34,1.01,EC,1615006794
99,rundu,-17.9333,19.7667,66.06,65,68,0.13,NA,1615007251
100,norman wells,65.282,-126.8329,-0.4,78,40,4.61,CA,1615006871
101,butaritari,3.0707,172.7902,81.23,76,69,13.58,KI,1615006783
102,los llanos de aridane,28.6585,-17.9182,64.4,63,0,23.02,ES,1615007252
103,sao filipe,14.8961,-24.4956,70.61,76,83,12.1,CV,1615006788
104,cap malheureux,-19.9842,57.6142,84.0,71,100,5.99,MU,1615006791
105,hilo,19.7297,-155.09,68.0,83,90,6.91,US,1615006857
106,severo-kurilsk,50.6789,156.125,29.14,96,100,14.14,RU,1615006785
107,bouca,6.5105,18.2733,66.9,26,12,2.06,CF,1615007253
108,sitka,57.0531,-135.33,37.4,87,90,10.36,US,1615006859
109,joshimath,30.5667,79.5667,61.84,23,0,4.36,IN,1615007254
110,salalah,17.0151,54.0924,71.6,60,0,2.3,OM,1615006799
111,zhuanghe,39.7008,122.9911,37.15,51,0,11.68,CN,1615007254
112,chuy,-33.6971,-53.4616,65.48,79,99,6.44,UY,1615006780
113,kingman,35.1894,-114.053,50.0,32,1,11.5,US,1615007255
114,okhotsk,59.3833,143.3,-10.5,82,95,16.26,RU,1615007255
115,mocajuba,-2.5842,-49.5072,73.74,97,100,2.21,BR,1615007255
116,mahebourg,-20.4081,57.7,78.8,83,75,6.91,MU,1615006512
117,zeya,53.75,127.2667,1.83,83,0,3.74,RU,1615007256
118,khatanga,71.9667,102.5,-14.1,85,91,11.41,RU,1615006766
119,loknya,56.83,30.1467,18.27,95,23,5.99,RU,1615007257
120,kushmurun,52.4503,64.6311,28.24,98,100,5.37,KZ,1615006792
121,manta,-0.95,-80.7333,75.2,100,0,1.39,EC,1615007125
122,xuddur,4.1213,43.8894,72.39,57,71,21.18,SO,1615006878
123,loreto,22.2667,-101.9667,57.11,67,34,9.86,MX,1615007257
124,the valley,18.217,-63.0578,77.0,78,20,5.75,AI,1615007258
125,east london,-33.0153,27.9116,66.2,88,0,5.75,ZA,1615006801
126,belaya gora,68.5333,146.4167,-12.82,87,100,21.09,RU,1615007258
127,cacapava,-23.1008,-45.7069,69.71,87,100,3.02,BR,1615007258
128,naze,28.3667,129.4833,69.8,64,75,6.91,JP,1615007259
129,yulara,-25.2406,130.9889,96.8,9,17,5.75,AU,1615006916
130,katsuura,35.1333,140.3,60.8,88,75,9.22,JP,1615006796
131,tiksi,71.6872,128.8694,-21.89,86,37,3.49,RU,1615006769
132,normandin,48.8333,-72.5321,12.2,79,100,17.27,CA,1615007260
133,bredasdorp,-34.5322,20.0403,55.4,94,1,1.14,ZA,1615006777
134,carnarvon,-24.8667,113.6333,82.4,74,1,17.27,AU,1615006784
135,geraldton,-28.7667,114.6,86.0,51,2,14.97,AU,1615006828
136,diego de almagro,-26.3667,-70.05,58.48,70,0,1.83,CL,1615007261
137,kaitangata,-46.2817,169.8464,59.0,72,52,7.09,NZ,1615006902
138,saint-philippe,-21.3585,55.7679,84.2,61,0,1.14,RE,1615006768
139,hofn,64.2539,-15.2082,38.68,70,0,4.81,IS,1615006768
140,roebourne,-20.7833,117.1333,93.47,34,0,12.35,AU,1615007262
141,georgetown,5.4112,100.3354,86.0,78,20,13.8,MY,1615006599
142,mecca,21.4267,39.8261,77.49,26,0,4.76,SA,1615007262
143,sovetskiy,61.3614,63.5842,10.27,95,99,3.13,RU,1615006754
144,necochea,-38.5473,-58.7368,51.01,91,1,3.06,AR,1615007263
145,yukamenskoye,57.8865,52.2416,-1.86,92,48,6.38,RU,1615007263
146,cape town,-33.9258,18.4232,62.01,88,0,5.75,ZA,1615006776
147,sibolga,1.7427,98.7792,83.16,69,100,3.2,ID,1615006873
148,angoram,-4.0625,144.0661,83.66,84,68,5.12,PG,1615007264
149,rudbar,30.15,62.6,77.77,19,27,12.66,AF,1615007264
150,castro,-24.7911,-50.0119,61.2,98,72,4.29,BR,1615006772
151,svetlyy,54.675,20.1347,30.99,93,20,2.24,RU,1615007264
152,lagoa,39.05,-27.9833,58.51,77,100,9.42,PT,1615007265
153,sigiriya,7.9518,80.7426,86.74,53,97,4.68,LK,1615007265
154,coihaique,-45.5752,-72.0662,47.8,71,23,6.06,CL,1615006798
155,saint-augustin,51.226,-58.6502,9.88,94,59,1.21,CA,1615006879
156,vestmannaeyjar,63.4427,-20.2734,44.08,79,78,9.51,IS,1615006992
157,xiaoweizhai,26.1903,107.5125,53.4,80,100,7.4,CN,1615007266
158,beringovskiy,63.05,179.3167,-18.63,85,1,2.06,RU,1615006860
159,rumuruti,0.267,36.5389,64.56,58,96,8.84,KE,1615007266
160,mahibadhoo,3.7833,72.9667,82.67,74,63,11.86,MV,1615007267
161,vaitape,-16.5167,-151.75,82.76,71,100,6.82,PF,1615007267
162,port macquarie,-31.4333,152.9167,73.99,57,88,3.0,AU,1615007267
163,murray,40.6669,-111.888,46.0,47,20,5.91,US,1615007268
164,nanortalik,60.1432,-45.2371,33.35,90,100,13.04,GL,1615007268
165,clyde river,70.4692,-68.5914,-18.4,76,1,18.41,CA,1615006795
